numero,filename,class,origin,source_file,row_idx,pred_class_label,pred_class_confidence,pred_origin_label,pred_origin_confidence,judge_model,judge_host,judge_error,phish_raw,origin_raw
1,0001.txt,non-phishing,ai,A_L_kaggle.csv,660,non-phishing,0.8000,manual,0.8000,llama3,http://10.10.5.250:11434,,"{""label"":""non-phishing"",""confidence"":0.8,""signals"":[""social media invitation"",""exclusive offers""],""rationale"":""The email appears to be a genuine invitation to connect and engage with the sender's social media presence, without any suspicious or malicious language.""}","{""label"":""manual"",""confidence"":0.8,""style_cues"":[""personal salutations"",""professional tone"",""structured paragraphs""],""rationale"":""The email's formal greeting and closing, as well as its structured paragraphs, suggest a human touch. The language is professional and polite, indicating a deliberate attempt to build a connection with the recipient.""}"
2,0002.txt,phishing,manuale,M_P_L_Nigerian_5.csv,3715,phishing,0.8000,ai-generated,0.8000,llama3,http://10.10.5.250:11434,,"{""label"":""phishing"",""confidence"":0.8,""signals"":[""urgent action"", ""credential request"", ""payment request"", ""suspicious link mention""],""rationale"":""The email contains a sob story, an urgent request for assistance, and a promise of financial reward, which are common tactics used by phishing scammers to deceive victims.""}","{""label"":""ai-generated"", ""confidence"":0.8, ""style_cues"":[""template-like phrasing"", ""unnatural repetitiveness""], ""rationale"":""The email's structure and language are overly formal and repetitive, with a focus on convincing the recipient to assist in a financial transaction. The tone is overly polite and the language is generic, suggesting a scripted or generated text.""}"
3,0003.txt,non-phishing,manuale,M_P_L_Nigerian_5.csv,5947,non-phishing,0.8000,manual,0.8000,llama3,http://10.10.5.250:11434,,"{""label"":""non-phishing"",""confidence"":0.8,""signals"":[""legitimate email signature""],""rationale"":""The email contains a legitimate email signature with contact information and a mention of the Irish Linux Users' Group, indicating it is a genuine communication.""}","{""label"":""manual"",""confidence"":0.8,""style_cues"":[""natural language"", ""informal tone"", ""personal touch""],""rationale"":""The email's informal tone, personal touches, and conversational style suggest a human author.""}"
4,0004.txt,non-phishing,manuale,M_P_L_Nigerian_5.csv,6277,non-phishing,0.8000,manual,0.8000,llama3,http://10.10.5.250:11434,,"{""label"":""non-phishing"",""confidence"":0.8,""signals"":[""dreams-are-like-radio analogy"", ""veritably Operational Thetan-like"", ""problem solving going on up there at night""], ""rationale"":""The email discusses philosophical and introspective topics, with no suspicious language or requests for personal information.""}","{""label"":""manual"",""confidence"":0.8,""style_cues"":[""very polished neutral tone"", ""template-like phrasing"", ""high consistency"", ""low idiosyncrasy""],""rationale"":""The text exhibits a high level of coherence, with well-structured paragraphs and a consistent tone. The language is formal and professional, suggesting a deliberate writing style.""}"
5,0005.txt,non-phishing,manuale,M_P_L_Nigerian_5.csv,8,non-phishing,0.8000,manual,0.8000,llama3,http://10.10.5.250:11434,,"{""label"":""non-phishing"",""confidence"":0.8,""signals"":[""legitimate business communication""],""rationale"":""The email appears to be a genuine request for legal review and revision of an advertising agreement, with no suspicious language or links.""}","{""label"":""manual"",""confidence"":0.8,""style_cues"":[""very polished neutral tone"", ""template-like phrasing"", ""high consistency""],""rationale"":""The email's structure, language, and formatting are typical of a formal business communication, with a clear subject line, proper salutations, and a concise message.""}"
6,0006.txt,phishing,manuale,M_P_L_Nigerian_5.csv,4814,phishing,0.8000,ai-generated,0.8000,llama3,http://10.10.5.250:11434,,"{""label"":""phishing"",""confidence"":0.8,""signals"":[""urgent action"", ""credential request"", ""payment request"", ""spoofed identity"", ""suspicious link mention""],""rationale"":""The email attempts to deceive the recipient by claiming a large sum of money is being transferred and asks for cooperation in receiving it, which is a common phishing tactic.""}","{""label"":""ai-generated"", ""confidence"":0.8, ""style_cues"":[""template-like phrasing"", ""unnatural repetitiveness"", ""generic salutations""], ""rationale"":""The email's structure and language are overly formal and repetitive, with a focus on convincing the recipient to take action. The tone is overly polite and the story is too good (and too convenient) to be true.""}"
7,0007.txt,non-phishing,ai,A_L_kaggle.csv,709,phishing,0.7000,manual,0.8000,llama3,http://10.10.5.250:11434,,"{""label"":""phishing"",""confidence"":0.7,""signals"":[""urgent action"",""credential request"",""suspicious link mention""],""rationale"":""The email's tone and language are overly urgent, and the request to click on a link is suspicious. The lack of personalization and the vague threat of account suspension also raise concerns.""}","{""label"":""manual"",""confidence"":0.8,""style_cues"":[""very polished neutral tone"", ""template-like phrasing"", ""high consistency""],""rationale"":""The email's formal tone and structured content suggest human authorship. The language is professional and lacks the characteristic patterns of AI-generated text.""}"
8,0008.txt,non-phishing,manuale,M_P_L_Nigerian_5.csv,60,non-phishing,0.8000,manual,0.8000,llama3,http://10.10.5.250:11434,,"{""label"":""non-phishing"",""confidence"":0.8,""signals"":[""attachment request"",""legitimate tone""],""rationale"":""The email appears to be a routine business communication, with no obvious red flags or attempts to deceive the recipient.""}","{""label"":""manual"",""confidence"":0.8,""style_cues"":[""very polished neutral tone"", ""template-like phrasing"", ""high consistency""],""rationale"":""The text exhibits a formal tone and structured language, suggesting human authorship. The use of specific dates and company names also points to manual writing.""}"
9,0009.txt,non-phishing,manuale,M_P_L_Nigerian_5.csv,6081,non-phishing,0.8000,manual,0.8000,llama3,http://10.10.5.250:11434,,"{""label"":""non-phishing"",""confidence"":0.8,""signals"":[""technical discussion"", ""language comparison"", ""software engineering""],""rationale"":""The email is a legitimate technical discussion between two individuals with no signs of phishing or malicious intent.""}","{""label"":""manual"",""confidence"":0.8,""style_cues"":[""very polished neutral tone"", ""template-like phrasing"", ""high consistency""],""rationale"":""The text exhibits a clear and organized structure, with a consistent tone and language usage throughout. The author's points are well-supported and logically presented.""}"
10,0010.txt,non-phishing,manuale,M_P_L_Nigerian_5.csv,973,non-phishing,0.8000,manual,0.8000,llama3,http://10.10.5.250:11434,,"{""label"":""non-phishing"",""confidence"":0.8,""signals"":[""technical discussion"", ""protocol errors"", ""known bugs""],""rationale"":""The email appears to be a genuine technical inquiry, with the sender seeking help and sharing their own experiences and observations.""}","{""label"":""manual"",""confidence"":0.8,""style_cues"":[""personal touch"",""informal tone"",""idiomatic language""],""rationale"":""The text appears to be written in a conversational style, with personal touches and informal language used throughout. The author's voice is distinct and not typical of AI-generated content.""}"
11,0011.txt,phishing,manuale,M_P_L_Nigerian_5.csv,2684,phishing,0.8000,ai-generated,0.8000,llama3,http://10.10.5.250:11434,,"{\n""label"": ""phishing"",\n""confidence"": 0.8,\n""signals"": [""urgent action"", ""credential request"", ""payment request"", ""account threat""],\n""rationale"": ""The email attempts to deceive the recipient into revealing sensitive information and performing a financial transaction, which is a classic phishing tactic.""\n}","{\n""label"": ""ai-generated"",\n""confidence"": 0.8,\n""style_cues"": [""template-like phrasing"", ""unnatural repetitiveness""],\n""rationale"": ""The email's structure, tone, and language are consistent with automated generated emails. The text contains a mix of generic phrases and specific details, which is typical of AI-generated content.""\n}"
12,0012.txt,non-phishing,ai,A_L_kaggle.csv,834,non-phishing,0.8000,manual,0.8000,llama3,http://10.10.5.250:11434,,"{""label"":""non-phishing"",""confidence"":0.8,""signals"":[""exclusive access"", ""claim your access"", ""warm regards""], ""rationale"":""The email appears to be a legitimate promotional message from someone who claims to have a personal connection with the recipient. The tone is friendly and inviting, and there are no obvious red flags or attempts to deceive.""}","{""label"":""manual"",""confidence"":0.8,""style_cues"":[""personal salutations"", ""friendly tone"", ""inclusive language""], ""rationale"":""The email's informal tone and personalized greeting suggest human authorship. The language is engaging and encouraging, with a clear call to action.""}"
